number_image,number_layer,number_neurons,average,range,computation_time
50,1,32,0.5649999999999998,0.39999999999999997,1.3836205005645752
50,1,64,0.5650000000000002,0.9,1.334650993347168
50,1,128,0.505,0.5,1.330367088317871
50,2,96,0.695,0.7,1.3119003772735596
50,2,192,0.835,0.6,1.3241338729858398
50,3,224,0.8000000000000002,0.6,1.4028527736663818
100,1,32,0.6725000000000001,0.9,2.21059513092041
100,1,64,0.6325,0.4,2.198382616043091
100,1,128,0.6699999999999999,0.35,2.298832893371582
100,2,96,0.7074999999999998,0.25,2.3494374752044678
100,2,192,0.9374999999999998,0.15000000000000002,2.3989036083221436
100,3,224,0.8574999999999999,0.30000000000000004,2.3354036808013916
150,1,32,0.7383333333333335,0.33333333333333337,3.2570180892944336
150,1,64,0.7366666666666666,0.4,3.240999698638916
150,1,128,0.76,0.5,3.283139228820801
150,2,96,0.8233333333333335,0.6666666666666667,3.341647148132324
150,2,192,0.8850000000000001,0.33333333333333337,3.4164891242980957
150,3,224,0.9299999999999999,0.19999999999999996,3.486426591873169
200,1,32,0.635,0.25,4.322458505630493
200,1,64,0.7849999999999999,0.275,4.410372495651245
200,1,128,0.73625,0.55,4.393601417541504
200,2,96,0.735,0.22499999999999998,4.406992435455322
200,2,192,0.7750000000000001,0.32499999999999996,4.53402853012085
200,3,224,0.7299999999999998,0.25,4.571847677230835
250,1,32,0.6980000000000001,0.48000000000000004,5.402858734130859
250,1,64,0.758,0.28,5.436788558959961
250,1,128,0.7489999999999999,0.26,5.558850288391113
250,2,96,0.8119999999999999,0.5,5.5158209800720215
250,2,192,0.865,0.31999999999999995,5.6588294506073
250,3,224,0.8720000000000001,0.26,5.575703382492065
300,1,32,0.7124999999999999,0.29999999999999993,6.7080488204956055
300,1,64,0.7383333333333335,0.41666666666666663,6.6388936042785645
300,1,128,0.9041666666666666,0.33333333333333337,6.878530025482178
300,2,96,0.8450000000000001,0.23333333333333328,6.841887950897217
300,2,192,0.99,0.19999999999999996,7.179900646209717
300,3,224,0.9366666666666668,0.19999999999999996,7.195616722106934
350,1,32,0.74,0.19999999999999996,7.749053478240967
350,1,64,0.805,0.3285714285714286,7.900015115737915
350,1,128,0.9528571428571428,0.3142857142857143,8.095548152923584
350,2,96,0.875714285714286,0.2857142857142857,8.061882019042969
350,2,192,1.0,0.0,8.531484603881836
350,3,224,0.9385714285714286,0.2857142857142857,8.38569688796997
400,1,32,0.7643749999999999,0.23750000000000004,9.176649808883667
400,1,64,0.7499999999999999,0.3500000000000001,9.168189525604248
400,1,128,0.94625,0.3125,9.461974143981934
400,2,96,0.8775000000000001,0.21250000000000002,9.279037475585938
400,2,192,0.9668750000000002,0.23750000000000004,9.724567174911499
