number_image,number_layer,number_neurons,average,range,computation_time,average_test_time
50,1,32,0.78,0.6,5.490702152252197,0.10593000042717904
50,1,64,0.6299999999999999,0.5,4.455384731292725,0.12053000391460955
50,1,128,0.78,0.6000000000000001,4.613574504852295,0.2107300009811297
50,2,96,0.7299999999999998,0.20000000000000007,4.419665336608887,0.13129999861121178
50,2,192,0.76,0.10000000000000009,4.43253231048584,0.23284999770112336
50,3,224,0.7200000000000001,0.10000000000000009,4.47475790977478,0.24352000036742538
100,1,32,0.625,0.4,8.53187370300293,0.1079299981938675
100,1,64,0.7,0.30000000000000004,8.495701551437378,0.12117000296711922
100,1,128,0.6500000000000001,0.5,8.641220331192017,0.21319999650586396
100,2,96,0.7150000000000001,0.19999999999999996,8.607172966003418,0.12411999341566116
100,2,192,0.8550000000000001,0.35,8.547779560089111,0.22041999618522823
100,3,224,0.7149999999999999,0.5,8.633037805557251,0.22785999753978103
150,1,32,0.7166666666666667,0.46666666666666673,12.620795965194702,0.11377000191714615
150,1,64,0.7766666666666666,0.5666666666666667,12.753910779953003,0.12903000169899315
150,1,128,0.6966666666666668,0.20000000000000007,12.702758312225342,0.21777999645564705
150,2,96,0.74,0.5666666666666667,12.63749647140503,0.1335700071649626
150,2,192,0.8233333333333333,0.33333333333333337,12.635057926177979,0.21488000347744673
150,3,224,0.74,0.20000000000000007,12.65657091140747,0.21266000403556973
200,1,32,0.65,0.47500000000000003,16.727076053619385,0.10646000446286052
200,1,64,0.7525,0.275,16.733887434005737,0.12239999487064779
200,1,128,0.7,0.07499999999999996,16.748126983642578,0.2022499975282699
200,2,96,0.8200000000000001,0.22499999999999998,16.712522268295288,0.12704999244306237
200,2,192,0.7875,0.30000000000000004,16.899113655090332,0.26215999387204647
200,3,224,0.8625,0.30000000000000004,16.808504104614258,0.2293599973199889
250,1,32,0.728,0.36,20.784203052520752,0.10535999899730086
250,1,64,0.7100000000000001,0.29999999999999993,20.808879613876343,0.12585000367835164
250,1,128,0.85,0.38,20.952532529830933,0.20514000207185745
250,2,96,0.8099999999999999,0.20000000000000007,20.831129550933838,0.13194000348448753
250,2,192,0.8240000000000002,0.33999999999999997,20.907238483428955,0.23696999705862254
250,3,224,0.754,0.26,20.808639526367188,0.23863999813329428
300,1,32,0.6383333333333333,0.08333333333333337,24.912953853607178,0.09904000035021454
300,1,64,0.7983333333333332,0.08333333333333337,24.967787504196167,0.11899000674020499
300,1,128,0.9149999999999998,0.23333333333333328,25.134178400039673,0.21359000238589942
300,2,96,0.8066666666666666,0.2833333333333333,25.027179718017578,0.12182999635115266
300,2,192,0.8850000000000001,0.2666666666666667,25.14684271812439,0.22206000285223126
300,3,224,0.8683333333333334,0.2833333333333333,25.16660165786743,0.2389700064668432
350,1,32,0.6828571428571429,0.17142857142857137,28.968056440353394,0.10692999931052327
350,1,64,0.7799999999999999,0.07142857142857151,29.144480228424072,0.1190800016047433
350,1,128,0.9,0.34285714285714286,29.24281597137451,0.210829998832196
350,2,96,0.86,0.2142857142857143,29.13088607788086,0.13011000119149685
350,2,192,0.9985714285714286,0.014285714285714235,29.31514835357666,0.2304800000274554
350,3,224,0.99,0.09999999999999998,29.445375680923462,0.2450299944030121
400,1,32,0.77,0.13750000000000007,33.033852338790894,0.10433999705128372
400,1,64,0.8287500000000001,0.25,33.2965886592865,0.12866000179201365
400,1,128,0.8150000000000001,0.35,33.31965923309326,0.20474000193644315
400,2,96,0.74,0.03749999999999998,33.15926218032837,0.13872999406885356
400,2,192,1.0,0.0,33.47959637641907,0.20837000338360667
400,3,224,0.9200000000000002,0.19999999999999996,33.468876361846924,0.2449599938699976
450,1,32,0.7788888888888889,0.30000000000000004,37.220614433288574,0.12414000520948319
450,1,64,0.7911111111111111,0.30000000000000004,37.355432987213135,0.12151999108027667
450,1,128,0.9933333333333334,0.022222222222222254,37.50729322433472,0.19061999337282032
450,2,96,0.8466666666666667,0.23333333333333328,37.355151653289795,0.13385999773163348
450,2,192,1.0,0.0,37.71781921386719,0.2245199983008206
450,3,224,0.9144444444444444,0.28888888888888886,37.58928036689758,0.23382999643217772
500,1,32,0.7869999999999999,0.51,41.3600537776947,0.11855999764520675
500,1,64,0.908,0.22999999999999998,41.518245697021484,0.12610999983735383
500,1,128,0.9369999999999999,0.28,41.79389429092407,0.2162099990528077
500,2,96,0.8710000000000001,0.24,41.49098300933838,0.13877999735996127
500,2,192,1.0,0.0,41.89017939567566,0.22292000649031252
500,3,224,0.959,0.20999999999999996,41.864006996154785,0.23604999878443778
550,1,32,0.82,0.24545454545454548,45.58514142036438,0.11444000119809061
550,1,64,0.9536363636363637,0.19999999999999996,45.737364053726196,0.12106000212952495
550,1,128,0.9854545454545454,0.045454545454545414,45.874701499938965,0.20279999589547515
550,2,96,0.8772727272727273,0.2727272727272727,45.61628842353821,0.13649000029545277
550,2,192,1.0,0.0,45.94656491279602,0.22213000047486275
550,3,224,0.9827272727272728,0.1636363636363637,46.05798268318176,0.24108999932650477
600,1,32,0.8733333333333333,0.21666666666666667,49.76906228065491,0.10835999855771661
600,1,64,0.9558333333333333,0.19999999999999996,49.94834589958191,0.12069999938830733
600,1,128,0.9991666666666668,0.008333333333333304,50.1635959148407,0.20024000550620258
600,2,96,0.9116666666666667,0.21666666666666667,49.956576347351074,0.12533999979496002
600,2,192,1.0,0.0,50.21223497390747,0.19905999943148345
600,3,224,0.9908333333333333,0.06666666666666665,50.196836709976196,0.23979000106919557
650,1,32,1.0,0.0,10.718687057495117,0.10331000376027077
650,1,64,1.0,0.0,10.777238130569458,0.13325000181794167
650,1,128,1.0,0.0,10.769977569580078,0.20432000746950507
650,2,96,1.0,0.0,10.781317472457886,0.12873999949079007
650,2,192,1.0,0.0,10.818389177322388,0.2390600013313815
650,3,224,1.0,0.0,10.8286874294281,0.2251699974294752
700,1,32,1.0,0.0,11.620752334594727,0.10629000316839665
700,1,64,1.0,0.0,11.541891098022461,0.11591000366024673
700,1,128,1.0,0.0,11.566980361938477,0.19675999938044697
700,2,96,1.0,0.0,11.55777096748352,0.12448000197764486
700,2,192,1.0,0.0,11.59239649772644,0.23172000073827803
700,3,224,1.0,0.0,11.684816360473633,0.23143999569583684
750,1,32,1.0,0.0,12.27797269821167,0.10891999991144985
750,1,64,1.0,0.0,12.429742813110352,0.12238000053912401
750,1,128,1.0,0.0,12.472097158432007,0.20367999677546322
750,2,96,1.0,0.0,12.35004997253418,0.13228000316303223
750,2,192,1.0,0.0,12.46627140045166,0.22527000110130757
750,3,224,1.0,0.0,12.406222820281982,0.27006000163964927
800,1,32,1.0,0.0,13.17440938949585,0.12014000676572323
800,1,64,1.0,0.0,13.110441207885742,0.11879000230692327
800,1,128,1.0,0.0,13.256590366363525,0.19085999520029873
800,2,96,1.0,0.0,13.149129867553711,0.13383999757934362
800,2,192,1.0,0.0,13.22805142402649,0.22137999476399273
800,3,224,1.0,0.0,13.308479070663452,0.24496999976690859
850,1,32,1.0,0.0,13.896883726119995,0.11160999711137265
850,1,64,1.0,0.0,14.006696224212646,0.1201900013256818
850,1,128,1.0,0.0,14.064358234405518,0.22241999977268279
850,2,96,1.0,0.0,14.065586805343628,0.12646000541280955
850,2,192,1.0,0.0,14.08914065361023,0.2387799962889403
850,3,224,1.0,0.0,13.989901304244995,0.2337199985049665
900,1,32,1.0,0.0,14.754822492599487,0.10568000434432179
900,1,64,1.0,0.0,14.777444839477539,0.1218299992615357
900,1,128,1.0,0.0,14.860999822616577,0.2054599957773462
900,2,96,1.0,0.0,14.83363389968872,0.13141999661456794
900,2,192,1.0,0.0,14.847256422042847,0.23737000592518598
900,3,224,1.0,0.0,14.913351774215698,0.2553499973146245
950,1,32,1.0,0.0,15.538186073303223,0.11000999948009849
950,1,64,1.0,0.0,15.602490425109863,0.12129000097047538
950,1,128,1.0,0.0,15.673912525177002,0.21559000306297094
950,2,96,1.0,0.0,15.603352069854736,0.1335100008873269
950,2,192,1.0,0.0,15.702367782592773,0.2257700019981712
950,3,224,1.0,0.0,15.738486528396606,0.24087000638246536
1000,1,32,1.0,0.0,16.369874715805054,0.11410000442992896
1000,1,64,1.0,0.0,16.492157220840454,0.11530000192578882
1000,1,128,1.0,0.0,16.456043243408203,0.2028300048550591
1000,2,96,1.0,0.0,16.417933464050293,0.12623999791685492
1000,2,192,1.0,0.0,16.618672609329224,0.22987999254837632
1000,3,224,1.0,0.0,16.507773637771606,0.23882999958004802
1050,1,32,1.0,0.0,17.158841133117676,0.11535999365150928
1050,1,64,1.0,0.0,17.308211088180542,0.1310699968598783
1050,1,128,1.0,0.0,17.259540796279907,0.20877999777439982
1050,2,96,1.0,0.0,17.230881690979004,0.1324800046859309
1050,2,192,1.0,0.0,17.400164127349854,0.22514001466333866
1050,3,224,1.0,0.0,17.337881803512573,0.2348600042751059
1100,1,32,1.0,0.0,18.00878357887268,0.1104000024497509
1100,1,64,1.0,0.0,18.046414613723755,0.12160000333096832
1100,1,128,1.0,0.0,18.139547109603882,0.19273999787401408
1100,2,96,1.0,0.0,18.031718730926514,0.13192000333219767
1100,2,192,1.0,0.0,18.234668970108032,0.2233000035630539
1100,3,224,1.0,0.0,18.252296924591064,0.23811999999452382
1150,1,32,1.0,0.0,18.78516697883606,0.1039499999023974
1150,1,64,1.0,0.0,18.909390687942505,0.1217999990331009
1150,1,128,1.0,0.0,18.9416081905365,0.19971999863628298
1150,2,96,1.0,0.0,18.822240114212036,0.13134999899193645
1150,2,192,1.0,0.0,18.998499393463135,0.2268399955937639
1150,3,224,1.0,0.0,18.95315909385681,0.24315000628121197
1200,1,32,1.0,0.0,19.65152072906494,0.11270000541117042
1200,1,64,1.0,0.0,19.72672462463379,0.12203998921904713
1200,1,128,1.0,0.0,19.763004302978516,0.20052999607287347
1200,2,96,1.0,0.0,19.7419855594635,0.13042999780736864
1200,2,192,1.0,0.0,19.83338451385498,0.25120999780483544
1200,3,224,1.0,0.0,19.741167783737183,0.22912999847903848
1250,1,32,1.0,0.0,20.421903133392334,0.11081999400630593
1250,1,64,1.0,0.0,20.505659103393555,0.12143999338150024
1250,1,128,1.0,0.0,20.5650577545166,0.21163999917916954
1250,2,96,1.0,0.0,20.515716791152954,0.13522000226657838
1250,2,192,1.0,0.0,20.59145951271057,0.22381999588105828
1250,3,224,1.0,0.0,20.614665746688843,0.2510900027118623
1300,1,32,0.8892857142857142,0.9821428571428571,22.55020022392273,0.10718000412452966
1300,1,64,0.9714285714285713,0.0714285714285714,22.691357374191284,0.11654000845737755
1300,1,128,0.9785714285714284,0.0714285714285714,22.692951679229736,0.21612000127788633
1300,2,96,0.7892857142857143,0.9464285714285714,22.76686120033264,0.1259499986190349
1300,2,192,0.9875,0.017857142857142905,22.734410762786865,0.21609999821521342
1300,3,224,0.9803571428571429,0.0357142857142857,22.871490001678467,0.25650000607129186
1350,1,32,0.9484848484848485,0.13636363636363635,26.746479511260986,0.11330000124871731
1350,1,64,0.903030303030303,0.12121212121212122,26.862312078475952,0.11807000264525414
1350,1,128,0.9727272727272727,0.045454545454545414,26.986238718032837,0.19552000158000737
1350,2,96,0.9954545454545455,0.015151515151515138,26.911821603775024,0.13103000237606466
1350,2,192,0.956060606060606,0.045454545454545525,27.001076221466064,0.22739999694749713
1350,3,224,0.9757575757575758,0.06060606060606055,27.15511679649353,0.23103000421542674
1400,1,32,0.9157894736842105,0.11842105263157887,30.879809617996216,0.10658999963197857
1400,1,64,0.8723684210526317,0.11842105263157887,30.897016048431396,0.12250000436324625
1400,1,128,0.9184210526315791,0.13157894736842113,30.99841022491455,0.19920999475289136
1400,2,96,0.944736842105263,0.14473684210526316,31.089869737625122,0.12787000450771302
1400,2,192,0.9302631578947368,0.07894736842105265,31.243772745132446,0.21415000082924962
1400,3,224,0.9802631578947368,0.052631578947368474,31.09529972076416,0.22790000366512686
1450,1,32,0.836046511627907,0.2209302325581396,35.01366639137268,0.10226999875158072
1450,1,64,0.913953488372093,0.17441860465116277,35.109907150268555,0.11602000158745795
1450,1,128,0.8883720930232558,0.15116279069767435,35.16095495223999,0.2082900085952133
1450,2,96,0.9325581395348838,0.13953488372093026,35.3069908618927,0.12533999397419393
1450,2,192,0.9825581395348838,0.046511627906976716,35.371885776519775,0.2132999972673133
1450,3,224,0.9465116279069768,0.11627906976744184,35.36750674247742,0.23136999807320535
1500,1,32,0.909375,0.17708333333333337,39.2006413936615,0.10480999771971256
1500,1,64,0.8833333333333334,0.15625,39.245219707489014,0.11896999785676599
1500,1,128,0.915625,0.13541666666666674,39.414008140563965,0.1984099973924458
1500,2,96,0.9614583333333334,0.07291666666666663,39.38816046714783,0.12771000328939408
1500,2,192,0.940625,0.0625,39.62661361694336,0.24394999782089144
1500,3,224,0.99375,0.02083333333333337,39.68898558616638,0.23433000314980745
